sale_id,product_id,customer_id,quantity,sale_date,price
1,133,93,8,2023-06-16,41.97
2,192,272,5,2023-04-22,10.31
3,193,787,2,2023-01-11,63.8
4,185,516,4,2023-08-11,48.75
5,166,946,7,2023-08-14,41.55
6,113,922,7,2023-06-16,59.62
7,144,472,2,2023-04-25,23.59
8,191,395,8,2023-02-17,41.21
9,185,545,2,2023-01-29,51.24
10,177,574,1,2023-07-11,48.81
11,136,907,2,2023-03-08,74.78
12,187,1,9,2023-07-19,15.92
13,161,81,1,2023-05-14,84.69
14,107,978,1,2023-07-16,94.31
15,167,800,7,2023-08-14,17.07
16,178,891,2,2023-06-29,79.23
17,104,44,4,2023-06-16,78.08
18,163,108,6,2023-02-10,27.58
19,176,968,3,2023-06-28,10.71
20,188,805,6,2023-02-15,74.36
21,177,118,5,2023-06-10,35.86
22,136,944,8,2023-03-24,63.96
23,145,860,8,2023-06-11,20.76
24,136,224,3,2023-01-21,82.45
25,161,205,3,2023-08-03,95.06
26,193,702,6,2023-01-01,44.43
27,101,346,4,2023-01-07,78.65
28,151,436,3,2023-07-15,56.98
29,195,284,3,2023-03-18,39.71
30,160,944,8,2023-01-20,62.43
31,158,431,4,2023-07-31,83.58
32,190,198,9,2023-06-06,15.65
33,103,776,8,2023-07-05,98.97
34,101,766,2,2023-04-03,60.43
35,185,613,2,2023-06-26,45.12
36,112,9,1,2023-08-10,32.39
37,162,140,3,2023-06-19,64.22
38,137,928,9,2023-08-03,34.8
39,196,318,8,2023-04-08,75.24
40,198,810,4,2023-04-02,17.89
41,185,458,3,2023-03-30,61.59
42,178,571,5,2023-01-08,85.05
43,175,657,2,2023-01-12,87.26
44,113,838,1,2023-03-23,28.42
45,118,18,3,2023-06-03,14.71
46,152,591,9,2023-04-08,91.11
47,199,413,3,2023-02-02,44.59
48,166,494,4,2023-05-02,49.34
49,111,978,6,2023-01-04,67.81
50,188,280,6,2023-01-15,37.55
51,130,507,2,2023-06-27,36.08
52,113,614,1,2023-05-05,66.96
53,102,9,8,2023-04-28,62.8
